PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;942705094;942705094;N1487;OSETH;Def;N36037;OSETH;Def;05:45:00;06:15:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;168922478;168922478;N36037;OSETH;Def;N1487;OSETH;Def;06:15:00;06:45:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;678259806;678259806;N1487;OSETH;Def;N36037;OSETH;Def;06:50:00;07:20:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;232532965;232532965;N36037;OSETH;Def;N1487;OSETH;Def;07:20:00;07:50:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;535623330;535623330;N1487;OSETH;Def;N36037;OSETH;Def;07:55:00;08:25:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;348970557;348970557;N36037;OSETH;Def;N1487;OSETH;Def;08:25:00;08:55:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;656311193;656311193;N1487;OSETH;Def;N36037;OSETH;Def;09:00:00;09:30:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;318397421;318397421;N36037;OSETH;Def;N1487;OSETH;Def;09:30:00;10:00:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;933562068;933562068;N1487;OSETH;Def;N36037;OSETH;Def;10:05:00;10:35:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;770202589;770202589;N36037;OSETH;Def;N1487;OSETH;Def;10:35:00;11:05:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;100062049;100062049;N1487;OSETH;Def;N36037;OSETH;Def;11:15:00;11:45:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;377884080;377884080;N36037;OSETH;Def;N1487;OSETH;Def;11:45:00;12:15:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;340319832;340319832;N1487;OSETH;Def;N36037;OSETH;Def;12:35:00;13:05:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;960606569;960606569;N36037;OSETH;Def;N1487;OSETH;Def;13:05:00;13:35:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;887516944;887516944;N1487;OSETH;Def;N36037;OSETH;Def;13:45:00;14:15:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;481923101;481923101;N36037;OSETH;Def;N1487;OSETH;Def;14:15:00;14:45:00;;6601_1
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;539143457;539143457;N1487;OSETH;Def;N36037;OSETH;Def;14:50:00;15:20:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;339070780;339070780;N36037;OSETH;Def;N1487;OSETH;Def;15:20:00;15:50:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;886518586;886518586;N1487;OSETH;Def;N36037;OSETH;Def;15:55:00;16:25:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;729660574;729660574;N36037;OSETH;Def;N1487;OSETH;Def;16:25:00;16:55:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;568827695;568827695;N1487;OSETH;Def;N36037;OSETH;Def;17:00:00;17:30:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;673052337;673052337;N36037;OSETH;Def;N1487;OSETH;Def;17:30:00;18:00:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;845368789;845368789;N1487;OSETH;Def;N36037;OSETH;Def;18:05:00;18:35:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;180620643;180620643;N36037;OSETH;Def;N1487;OSETH;Def;18:35:00;19:05:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;108087274;108087274;N1487;OSETH;Def;N36037;OSETH;Def;19:15:00;19:45:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;522723078;522723078;N36037;OSETH;Def;N1487;OSETH;Def;19:45:00;20:15:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;681842238;681842238;N1487;OSETH;Def;N36037;OSETH;Def;20:20:00;20:50:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;985716709;985716709;N36037;OSETH;Def;N1487;OSETH;Def;20:50:00;21:20:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;628063342;628063342;N1487;OSETH;Def;N36037;OSETH;Def;21:25:00;21:55:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;210515171;210515171;N36037;OSETH;Def;N1487;OSETH;Def;21:55:00;22:25:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;744869448;744869448;N1487;OSETH;Def;N36037;OSETH;Def;22:45:00;23:15:00;;6601_2
Day Type 3-1-1-1;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;575538428;575538428;N36037;OSETH;Def;N1487;OSETH;Def;23:15:00;23:45:00;;6601_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;750208790;750208790;N1487;OSETH;Def;N36037;OSETH;Def;06:15:00;06:40:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;105835662;105835662;N36037;OSETH;Def;N1487;OSETH;Def;06:40:00;07:05:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;386296297;386296297;N1487;OSETH;Def;N36037;OSETH;Def;07:10:00;07:40:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;706693042;706693042;N36037;OSETH;Def;N1487;OSETH;Def;07:40:00;08:10:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;640906709;640906709;N1487;OSETH;Def;N36037;OSETH;Def;08:15:00;08:45:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;390456366;390456366;N36037;OSETH;Def;N1487;OSETH;Def;08:45:00;09:15:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;127136996;127136996;N1487;OSETH;Def;N36037;OSETH;Def;09:20:00;09:50:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;224167450;224167450;N36037;OSETH;Def;N1487;OSETH;Def;09:50:00;10:20:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;956463791;956463791;N1487;OSETH;Def;N36037;OSETH;Def;10:25:00;10:55:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;771274831;771274831;N36037;OSETH;Def;N1487;OSETH;Def;10:55:00;11:25:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;390276549;390276549;N1487;OSETH;Def;N36037;OSETH;Def;11:35:00;12:05:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;947722642;947722642;N36037;OSETH;Def;N1487;OSETH;Def;12:05:00;12:35:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;256380616;256380616;N1487;OSETH;Def;N36037;OSETH;Def;12:55:00;13:25:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;686662319;686662319;N36037;OSETH;Def;N1487;OSETH;Def;13:25:00;13:55:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;290660379;290660379;N1487;OSETH;Def;N36037;OSETH;Def;14:05:00;14:35:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;327615600;327615600;N36037;OSETH;Def;N1487;OSETH;Def;14:35:00;15:05:00;;6602_1
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;152051899;152051899;N1487;OSETH;Def;N36037;OSETH;Def;15:15:00;15:45:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;660848091;660848091;N36037;OSETH;Def;N1487;OSETH;Def;15:45:00;16:15:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;142054807;142054807;N1487;OSETH;Def;N36037;OSETH;Def;16:20:00;16:50:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;728595016;728595016;N36037;OSETH;Def;N1487;OSETH;Def;16:50:00;17:20:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;547230171;547230171;N1487;OSETH;Def;N36037;OSETH;Def;17:25:00;17:55:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;737054288;737054288;N36037;OSETH;Def;N1487;OSETH;Def;17:55:00;18:25:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;663106147;663106147;N1487;OSETH;Def;N36037;OSETH;Def;18:35:00;19:05:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;833639321;833639321;N36037;OSETH;Def;N1487;OSETH;Def;19:05:00;19:35:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;919360682;919360682;N1487;OSETH;Def;N36037;OSETH;Def;19:40:00;20:10:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;399266866;399266866;N36037;OSETH;Def;N1487;OSETH;Def;20:10:00;20:40:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;947404191;947404191;N1487;OSETH;Def;N36037;OSETH;Def;20:45:00;21:15:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;668726481;668726481;N36037;OSETH;Def;N1487;OSETH;Def;21:15:00;21:45:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;967540008;967540008;N1487;OSETH;Def;N36037;OSETH;Def;21:55:00;22:25:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;652890677;652890677;N36037;OSETH;Def;N1487;OSETH;Def;22:25:00;22:55:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;678536764;678536764;N1487;OSETH;Def;N36037;OSETH;Def;23:15:00;23:45:00;;6602_2
Day Type 3-1-1-1;S_Depot;6602;6602;Revenue;66;KTEL_S;Def;296702595;296702595;N36037;OSETH;Def;N1487;OSETH;Def;23:45:00;24:15:00;;6602_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;531272765;531272765;N1487;OSETH;Def;N36037;OSETH;Def;06:30:00;07:00:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;981777747;981777747;N36037;OSETH;Def;N1487;OSETH;Def;07:00:00;07:30:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;976635597;976635597;N1487;OSETH;Def;N36037;OSETH;Def;07:35:00;08:05:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;125567790;125567790;N36037;OSETH;Def;N1487;OSETH;Def;08:05:00;08:35:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;127532971;127532971;N1487;OSETH;Def;N36037;OSETH;Def;08:40:00;09:10:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;776600632;776600632;N36037;OSETH;Def;N1487;OSETH;Def;09:10:00;09:40:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;646154624;646154624;N1487;OSETH;Def;N36037;OSETH;Def;09:45:00;10:15:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;179814563;179814563;N36037;OSETH;Def;N1487;OSETH;Def;10:15:00;10:45:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;265175153;265175153;N1487;OSETH;Def;N36037;OSETH;Def;10:55:00;11:25:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;280058727;280058727;N36037;OSETH;Def;N1487;OSETH;Def;11:25:00;11:55:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;973817770;973817770;N1487;OSETH;Def;N36037;OSETH;Def;12:05:00;12:35:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;424253515;424253515;N36037;OSETH;Def;N1487;OSETH;Def;12:35:00;13:05:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;111703879;111703879;N1487;OSETH;Def;N36037;OSETH;Def;13:25:00;13:55:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;941544302;941544302;N36037;OSETH;Def;N1487;OSETH;Def;13:55:00;14:25:00;;6603_1
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;712418646;712418646;N1487;OSETH;Def;N36037;OSETH;Def;14:30:00;15:00:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;196251510;196251510;N36037;OSETH;Def;N1487;OSETH;Def;15:00:00;15:30:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;339994420;339994420;N1487;OSETH;Def;N36037;OSETH;Def;15:35:00;16:05:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;895605036;895605036;N36037;OSETH;Def;N1487;OSETH;Def;16:05:00;16:35:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;883073939;883073939;N1487;OSETH;Def;N36037;OSETH;Def;16:40:00;17:10:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;713951891;713951891;N36037;OSETH;Def;N1487;OSETH;Def;17:10:00;17:40:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;917605623;917605623;N1487;OSETH;Def;N36037;OSETH;Def;17:45:00;18:15:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;888153819;888153819;N36037;OSETH;Def;N1487;OSETH;Def;18:15:00;18:45:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;284538811;284538811;N1487;OSETH;Def;N36037;OSETH;Def;18:55:00;19:25:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;877332550;877332550;N36037;OSETH;Def;N1487;OSETH;Def;19:25:00;19:55:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;666174701;666174701;N1487;OSETH;Def;N36037;OSETH;Def;20:00:00;20:30:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;864966969;864966969;N36037;OSETH;Def;N1487;OSETH;Def;20:30:00;21:00:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;910972433;910972433;N1487;OSETH;Def;N36037;OSETH;Def;21:05:00;21:35:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;990499738;990499738;N36037;OSETH;Def;N1487;OSETH;Def;21:35:00;22:05:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;875587221;875587221;N1487;OSETH;Def;N36037;OSETH;Def;22:15:00;22:45:00;;6603_2
Day Type 3-1-1-1;S_Depot;6603;6603;Revenue;66;KTEL_S;Def;313000580;313000580;N36037;OSETH;Def;N1487;OSETH;Def;22:45:00;23:15:00;;6603_2
