VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;924311519;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;05:00:00;05:30:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;466393237;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;05:45:00;06:14:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;968408883;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;06:16:00;06:46:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;673955183;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;07:00:00;07:29:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;649873065;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;07:31:00;08:02:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;662792907;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;08:13:00;08:44:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;151127992;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;08:46:00;09:18:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;888156244;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;09:54:00;10:27:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;998533716;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;10:29:00;11:03:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;175412403;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;11:11:00;11:46:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;897207729;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;11:48:00;12:24:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;154033274;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;12:56:00;13:31:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;955670963;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;13:33:00;14:09:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;713653238;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;14:20:00;14:55:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;935165890;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;14:57:00;15:33:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;462232135;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;15:38:00;16:12:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;643183409;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;16:14:00;16:50:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;967816203;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;17:23:00;17:57:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;290574425;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;17:59:00;18:34:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;593765097;VB_Piece;1001;;;N1487;OSETH;Def;N1337;OSETH;Def;18:52:00;19:26:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;999859867;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;19:28:00;20:03:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;834753598;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;05:15:00;05:45:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;244246654;VB_Piece;1002;;;N1487;OSETH;Def;N1337;OSETH;Def;06:00:00;06:29:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;714198533;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;06:31:00;07:01:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;226842749;VB_Piece;1002;;;N1487;OSETH;Def;N1337;OSETH;Def;07:10:00;07:39:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;215595753;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;07:41:00;08:12:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;656630320;VB_Piece;1002;;;N1487;OSETH;Def;N1337;OSETH;Def;08:46:00;09:17:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;440327317;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;09:19:00;09:51:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;737515177;VB_Piece;1002;;;N1487;OSETH;Def;N1337;OSETH;Def;10:05:00;10:38:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;804762595;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;10:40:00;11:15:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;110550228;VB_Piece;1002;;;N1487;OSETH;Def;N1337;OSETH;Def;11:33:00;12:08:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;616680607;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;12:10:00;12:46:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_2;941468948;VB_Piece;1002;;;N1487;OSETH;Def;N1337;OSETH;Def;13:22:00;13:58:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_2;689516799;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;14:00:00;14:36:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_2;982962814;VB_Piece;1002;;;N1487;OSETH;Def;N1337;OSETH;Def;14:50:00;15:25:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_2;585446602;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;15:27:00;16:03:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_2;959197207;VB_Piece;1002;;;N1487;OSETH;Def;N1337;OSETH;Def;16:23:00;16:57:00
