VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 4-1-1;1001_1;142376240;VB_Piece;1001;;;Foinika;OASTH;Def;N1487;OSETH;Def;04:59:00;11:52:00
VERSION_U;Foinika;Day Type 4-1-1;1001_2;869073247;Pre_Duty;;;;N1487;OSETH;Def;N1487;OASTH;Def;12:22:00;12:32:00
VERSION_U;Foinika;Day Type 4-1-1;1001_2;869073247;VB_Piece;1001;;;N1487;OSETH;Def;Foinika;OASTH;Def;12:32:00;19:15:00
VERSION_U;Foinika;Day Type 4-1-1;1002_1;701259379;VB_Piece;1002;;;Foinika;OASTH;Def;N1487;OSETH;Def;05:14:00;12:17:00
VERSION_U;Foinika;Day Type 4-1-1;1002_2;666329577;Pre_Duty;;;;N1487;OSETH;Def;N1487;OASTH;Def;13:01:00;13:11:00
VERSION_U;Foinika;Day Type 4-1-1;1002_2;666329577;VB_Piece;1002;;;N1487;OSETH;Def;Foinika;OASTH;Def;13:11:00;20:56:00
VERSION_U;Foinika;Day Type 4-1-1;1003_1;199111211;VB_Piece;1003;;;Foinika;OASTH;Def;N1487;OSETH;Def;04:59:00;12:57:00
VERSION_U;Foinika;Day Type 4-1-1;1003_2;680374376;Pre_Duty;;;;N1487;OSETH;Def;N1487;OASTH;Def;13:15:00;13:25:00
VERSION_U;Foinika;Day Type 4-1-1;1003_2;680374376;VB_Piece;1003;;;N1487;OSETH;Def;Foinika;OASTH;Def;13:25:00;21:11:00
VERSION_U;Foinika;Day Type 4-1-1;1004_1;725470768;VB_Piece;1004;;;Foinika;OASTH;Def;N1487;OSETH;Def;05:14:00;13:11:00
VERSION_U;Foinika;Day Type 4-1-1;1004_2;525923178;Pre_Duty;;;;N1487;OSETH;Def;N1487;OASTH;Def;14:45:00;14:55:00
VERSION_U;Foinika;Day Type 4-1-1;1004_2;525923178;VB_Piece;1004;;;N1487;OSETH;Def;Foinika;OASTH;Def;14:55:00;21:49:00
VERSION_U;Foinika;Day Type 4-1-1;1005_1;180901504;VB_Piece;1005;;;Foinika;OASTH;Def;N1487;OSETH;Def;05:57:00;13:54:00
VERSION_U;Foinika;Day Type 4-1-1;1005_2;963520775;Pre_Duty;;;;N1487;OSETH;Def;N1487;OASTH;Def;15:55:00;16:05:00
VERSION_U;Foinika;Day Type 4-1-1;1005_2;963520775;VB_Piece;1005;;;N1487;OSETH;Def;Foinika;OASTH;Def;16:05:00;24:06:00
VERSION_U;Foinika;Day Type 4-1-1;1006_1;568287105;VB_Piece;1006;;;Foinika;OASTH;Def;N1487;OSETH;Def;06:46:00;14:48:00
VERSION_U;Foinika;Day Type 4-1-1;1006_2;503033959;Pre_Duty;;;;N1487;OSETH;Def;N1487;OASTH;Def;16:22:00;16:32:00
VERSION_U;Foinika;Day Type 4-1-1;1006_2;503033959;VB_Piece;1006;;;N1487;OSETH;Def;Foinika;OASTH;Def;16:32:00;24:31:00
VERSION_U;Foinika;Day Type 4-1-1;1007_1;215445757;VB_Piece;1007;;;Foinika;OASTH;Def;N1487;OSETH;Def;07:19:00;15:18:00
VERSION_U;Foinika;Day Type 4-1-1;1007_2;320642130;Pre_Duty;;;;N1487;OSETH;Def;N1487;OASTH;Def;16:58:00;17:08:00
VERSION_U;Foinika;Day Type 4-1-1;1007_2;320642130;VB_Piece;1007;;;N1487;OSETH;Def;Foinika;OASTH;Def;17:08:00;24:31:00
VERSION_U;Foinika;Day Type 4-1-1;1401_1;487464107;VB_Piece;1401;;;Foinika;OASTH;Def;N15006;OSETH;Def;04:59:00;12:34:00
VERSION_U;Foinika;Day Type 4-1-1;1401_2;180988859;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;12:50:00;13:00:00
VERSION_U;Foinika;Day Type 4-1-1;1401_2;180988859;VB_Piece;1401;;;N15006;OSETH;Def;Foinika;OASTH;Def;13:00:00;20:47:00
VERSION_U;Foinika;Day Type 4-1-1;1402_1;312544504;VB_Piece;1402;;;Foinika;OASTH;Def;N15006;OSETH;Def;05:24:00;12:49:00
