VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 3-1-1-1;1001_1;678165261;VB_Piece;1001;;;N1337;OSETH;Def;N1487;OSETH;Def;05:00:00;12:24:00
VERSION_U;Foinika;Day Type 3-1-1-1;1001_2;969796419;VB_Piece;1001;;;N1487;OSETH;Def;N1487;OSETH;Def;12:56:00;20:03:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_1;502499320;VB_Piece;1002;;;N1337;OSETH;Def;N1487;OSETH;Def;05:15:00;12:46:00
VERSION_U;Foinika;Day Type 3-1-1-1;1002_2;190467899;VB_Piece;1002;;;N1487;OSETH;Def;N1487;OSETH;Def;13:22:00;20:38:00
VERSION_U;Foinika;Day Type 3-1-1-1;1003_1;458841514;VB_Piece;1003;;;N1487;OSETH;Def;N1487;OSETH;Def;05:00:00;13:08:00
VERSION_U;Foinika;Day Type 3-1-1-1;1003_2;592087130;VB_Piece;1003;;;N1487;OSETH;Def;N1487;OSETH;Def;13:36:00;21:02:00
VERSION_U;Foinika;Day Type 3-1-1-1;1004_1;842671700;VB_Piece;1004;;;N1487;OSETH;Def;N1487;OSETH;Def;05:15:00;13:19:00
VERSION_U;Foinika;Day Type 3-1-1-1;1004_2;657674513;VB_Piece;1004;;;N1487;OSETH;Def;N1487;OSETH;Def;13:50:00;21:28:00
VERSION_U;Foinika;Day Type 3-1-1-1;1005_1;854238491;VB_Piece;1005;;;N1487;OSETH;Def;N1487;OSETH;Def;05:30:00;13:31:00
VERSION_U;Foinika;Day Type 3-1-1-1;1005_2;170276020;VB_Piece;1005;;;N1487;OSETH;Def;N1487;OSETH;Def;14:35:00;21:54:00
VERSION_U;Foinika;Day Type 3-1-1-1;1006_1;901751187;VB_Piece;1006;;;N1487;OSETH;Def;N1487;OSETH;Def;06:50:00;13:43:00
VERSION_U;Foinika;Day Type 3-1-1-1;1006_2;377250816;VB_Piece;1006;;;N1487;OSETH;Def;N1487;OSETH;Def;16:09:00;24:08:00
VERSION_U;Foinika;Day Type 3-1-1-1;1007_1;619232097;VB_Piece;1007;;;N1487;OSETH;Def;N1487;OSETH;Def;07:20:00;14:23:00
VERSION_U;Foinika;Day Type 3-1-1-1;1007_2;143307960;VB_Piece;1007;;;N1487;OSETH;Def;N1487;OSETH;Def;16:36:00;24:32:00
VERSION_U;Foinika;Day Type 3-1-1-1;1008_1;493593357;VB_Piece;1008;;;N1487;OSETH;Def;N1487;OSETH;Def;08:24:00;15:18:00
VERSION_U;Foinika;Day Type 3-1-1-1;1008_2;972484623;VB_Piece;1008;;;N1487;OSETH;Def;N1337;OSETH;Def;17:00:00;24:30:00
VERSION_U;Foinika;Day Type 3-1-1-1;1401_1;693088115;VB_Piece;1401;;;N15006;OSETH;Def;N15006;OSETH;Def;05:00:00;11:53:00
VERSION_U;Foinika;Day Type 3-1-1-1;1401_2;273016384;VB_Piece;1401;;;N15006;OSETH;Def;N15006;OSETH;Def;12:35:00;20:20:00
VERSION_U;Foinika;Day Type 3-1-1-1;1402_1;545632427;VB_Piece;1402;;;N15006;OSETH;Def;N15006;OSETH;Def;05:25:00;12:24:00
VERSION_U;Foinika;Day Type 3-1-1-1;1402_2;289306592;VB_Piece;1402;;;N15006;OSETH;Def;N15006;OSETH;Def;13:20:00;21:20:00
VERSION_U;Foinika;Day Type 3-1-1-1;1403_1;393459752;VB_Piece;1403;;;N15006;OSETH;Def;N15006;OSETH;Def;05:45:00;13:10:00
VERSION_U;Foinika;Day Type 3-1-1-1;1403_2;335538205;VB_Piece;1403;;;N15006;OSETH;Def;N15006;OSETH;Def;13:35:00;21:35:00
VERSION_U;Foinika;Day Type 3-1-1-1;1404_1;248779581;VB_Piece;1404;;;N15006;OSETH;Def;N15006;OSETH;Def;06:00:00;13:27:00
VERSION_U;Foinika;Day Type 3-1-1-1;1404_2;400794474;VB_Piece;1404;;;N15006;OSETH;Def;N15006;OSETH;Def;14:20:00;22:20:00
VERSION_U;Foinika;Day Type 3-1-1-1;1405_1;588046614;VB_Piece;1405;;;N15006;OSETH;Def;N15006;OSETH;Def;06:45:00;14:15:00
VERSION_U;Foinika;Day Type 3-1-1-1;1405_2;829209188;VB_Piece;1405;;;N15006;OSETH;Def;N15006;OSETH;Def;16:15:00;24:05:00
VERSION_U;Foinika;Day Type 3-1-1-1;1406_1;273747991;VB_Piece;1406;;;N15006;OSETH;Def;N15006;OSETH;Def;07:36:00;15:14:00
VERSION_U;Foinika;Day Type 3-1-1-1;1406_2;332783295;VB_Piece;1406;;;N15006;OSETH;Def;N15006;OSETH;Def;17:05:00;24:35:00
VERSION_U;Foinika;Day Type 3-1-1-1;1407_1;243704502;VB_Piece;1407;;;N15006;OSETH;Def;N15006;OSETH;Def;08:12:00;15:58:00
VERSION_U;Foinika;Day Type 3-1-1-1;1407_2;791538905;VB_Piece;1407;;;N15006;OSETH;Def;N1337;OSETH;Def;17:35:00;24:35:00
