VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 3;0701_1;456335903;VB_Piece;0701;;;N45128;OSETH;Def;N1141;OSETH;Def;05:15:00;05:48:00
VERSION_U;Foinika;Day Type 3;0701_1;917410695;VB_Piece;0701;;;N1141;OSETH;Def;N45128;OSETH;Def;05:48:00;06:25:00
VERSION_U;Foinika;Day Type 3;0701_1;357753946;VB_Piece;0701;;;N45128;OSETH;Def;N1141;OSETH;Def;06:40:00;07:14:00
VERSION_U;Foinika;Day Type 3;0701_1;345035251;VB_Piece;0701;;;N1141;OSETH;Def;N45128;OSETH;Def;07:14:00;07:51:00
VERSION_U;Foinika;Day Type 3;0701_1;156224183;VB_Piece;0701;;;N45128;OSETH;Def;N1141;OSETH;Def;08:20:00;08:58:00
VERSION_U;Foinika;Day Type 3;0701_1;324230199;VB_Piece;0701;;;N1141;OSETH;Def;N45128;OSETH;Def;08:58:00;09:40:00
VERSION_U;Foinika;Day Type 3;0701_1;433317671;VB_Piece;0701;;;N45128;OSETH;Def;N1141;OSETH;Def;10:00:00;10:43:00
VERSION_U;Foinika;Day Type 3;0701_1;445218262;VB_Piece;0701;;;N1141;OSETH;Def;N45128;OSETH;Def;10:43:00;11:25:00
VERSION_U;Foinika;Day Type 3;0701_1;746659563;VB_Piece;0701;;;N45128;OSETH;Def;N1141;OSETH;Def;11:30:00;12:12:00
VERSION_U;Foinika;Day Type 3;0701_1;716879866;VB_Piece;0701;;;N1141;OSETH;Def;N45128;OSETH;Def;12:12:00;12:52:00
VERSION_U;Foinika;Day Type 3;0701_2;733529706;VB_Piece;0701;;;N45128;OSETH;Def;N1141;OSETH;Def;13:00:00;13:42:00
VERSION_U;Foinika;Day Type 3;0701_2;670029090;VB_Piece;0701;;;N1141;OSETH;Def;N45128;OSETH;Def;13:42:00;14:25:00
VERSION_U;Foinika;Day Type 3;0701_2;231771493;VB_Piece;0701;;;N45128;OSETH;Def;N1141;OSETH;Def;14:35:00;15:16:00
VERSION_U;Foinika;Day Type 3;0701_2;626352906;VB_Piece;0701;;;N1141;OSETH;Def;N45128;OSETH;Def;15:16:00;15:56:00
VERSION_U;Foinika;Day Type 3;0701_2;575800122;VB_Piece;0701;;;N45128;OSETH;Def;N1141;OSETH;Def;16:25:00;17:05:00
