VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Stavroupoli;Day Type 2;2101_1;346524155;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;05:00:00;05:30:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;138573319;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;05:30:00;05:58:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;710578158;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;06:05:00;06:38:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;868417409;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;06:38:00;07:12:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;756247233;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;07:20:00;07:55:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;123657113;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;07:55:00;08:31:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;436600007;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;08:52:00;09:32:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;726578108;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;09:32:00;10:11:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;654219208;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;10:37:00;11:21:00
VERSION_U;Stavroupoli;Day Type 2;2101_1;790581352;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;11:21:00;12:01:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;209739028;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;12:22:00;13:05:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;280966463;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;13:05:00;13:46:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;148806765;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;13:52:00;14:34:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;571612556;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;14:34:00;15:16:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;191868851;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;15:25:00;16:06:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;282738563;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;16:06:00;16:48:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;988818491;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;17:25:00;18:08:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;591628587;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;18:08:00;18:48:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;329771379;VB_Piece;2101;;;N4018;OSETH;Def;N1344;OSETH;Def;18:55:00;19:37:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;520676811;VB_Piece;2101;;;N1344;OSETH;Def;N4018;OSETH;Def;19:37:00;20:15:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;877310282;VB_Piece;2102;;;N4018;OSETH;Def;N1344;OSETH;Def;05:20:00;05:51:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;217062993;VB_Piece;2102;;;N1344;OSETH;Def;N4018;OSETH;Def;05:51:00;06:21:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;659184026;VB_Piece;2102;;;N4018;OSETH;Def;N1344;OSETH;Def;06:35:00;07:08:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;104803164;VB_Piece;2102;;;N1344;OSETH;Def;N4018;OSETH;Def;07:08:00;07:42:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;626150950;VB_Piece;2102;;;N4018;OSETH;Def;N1344;OSETH;Def;07:50:00;08:28:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;965605911;VB_Piece;2102;;;N1344;OSETH;Def;N4018;OSETH;Def;08:28:00;09:06:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;309558974;VB_Piece;2102;;;N4018;OSETH;Def;N1344;OSETH;Def;09:28:00;10:08:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;286613598;VB_Piece;2102;;;N1344;OSETH;Def;N4018;OSETH;Def;10:08:00;10:47:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;555095111;VB_Piece;2102;;;N4018;OSETH;Def;N1344;OSETH;Def;11:12:00;11:56:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;596185628;VB_Piece;2102;;;N1344;OSETH;Def;N4018;OSETH;Def;11:56:00;12:37:00
VERSION_U;Stavroupoli;Day Type 2;2102_2;587326209;VB_Piece;2102;;;N4018;OSETH;Def;N1344;OSETH;Def;13:00:00;13:43:00
VERSION_U;Stavroupoli;Day Type 2;2102_2;946197762;VB_Piece;2102;;;N1344;OSETH;Def;N4018;OSETH;Def;13:43:00;14:25:00
VERSION_U;Stavroupoli;Day Type 2;2102_2;537317840;VB_Piece;2102;;;N4018;OSETH;Def;N1344;OSETH;Def;14:30:00;15:11:00
VERSION_U;Stavroupoli;Day Type 2;2102_2;210673717;VB_Piece;2102;;;N1344;OSETH;Def;N4018;OSETH;Def;15:11:00;15:53:00
