VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 3;0701_1;914219997;VB_Piece;0701;;;Foinika;OASTH;Def;N45128;OSETH;Def;05:14:00;12:52:00
VERSION_U;Foinika;Day Type 3;0701_2;757586351;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;12:50:00;13:00:00
VERSION_U;Foinika;Day Type 3;0701_2;757586351;VB_Piece;0701;;;N45128;OSETH;Def;Foinika;OASTH;Def;13:00:00;20:59:00
VERSION_U;Foinika;Day Type 3;0702_1;661347820;VB_Piece;0702;;;Foinika;OASTH;Def;N45128;OSETH;Def;05:44:00;13:32:00
VERSION_U;Foinika;Day Type 3;0702_2;111475842;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;13:35:00;13:45:00
VERSION_U;Foinika;Day Type 3;0702_2;111475842;VB_Piece;0702;;;N45128;OSETH;Def;Foinika;OASTH;Def;13:45:00;21:26:00
VERSION_U;Foinika;Day Type 3;0703_1;684198304;VB_Piece;0703;;;Foinika;OASTH;Def;N45128;OSETH;Def;06:14:00;13:47:00
VERSION_U;Foinika;Day Type 3;0703_2;151254807;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;17:00:00;17:10:00
VERSION_U;Foinika;Day Type 3;0703_2;151254807;VB_Piece;0703;;;N45128;OSETH;Def;Foinika;OASTH;Def;17:10:00;24:45:00
VERSION_U;Foinika;Day Type 3;0704_1;416640843;VB_Piece;0704;;;Foinika;OASTH;Def;N45128;OSETH;Def;06:59:00;14:42:00
