SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;640111782;640111782;640111782;147930.925;;;;;;;;05:10:00;05:10:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;640111782;640111782;640111782;147930.925;;;;;;;;05:44:00;05:44:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;785710407;785710407;785710407;9349.52;;;;;;;;05:44:00;05:44:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;785710407;785710407;785710407;9349.52;;;;;;;;06:20:00;06:20:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;870008888;870008888;870008888;147930.925;;;;;;;;06:30:00;06:30:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;870008888;870008888;870008888;147930.925;;;;;;;;07:09:00;07:09:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;198985451;198985451;198985451;9349.52;;;;;;;;07:09:00;07:09:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;198985451;198985451;198985451;9349.52;;;;;;;;07:50:00;07:50:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;434690348;434690348;434690348;147930.925;;;;;;;;08:00:00;08:00:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;434690348;434690348;434690348;147930.925;;;;;;;;08:41:00;08:41:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;976584510;976584510;976584510;9349.52;;;;;;;;08:41:00;08:41:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;976584510;976584510;976584510;9349.52;;;;;;;;09:20:00;09:20:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;239325673;239325673;239325673;147930.925;;;;;;;;09:40:00;09:40:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;239325673;239325673;239325673;147930.925;;;;;;;;10:27:00;10:27:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;479429091;479429091;479429091;9349.52;;;;;;;;10:27:00;10:27:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;479429091;479429091;479429091;9349.52;;;;;;;;11:11:00;11:11:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;299743060;299743060;299743060;147930.925;;;;;;;;11:24:00;11:24:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;299743060;299743060;299743060;147930.925;;;;;;;;12:11:00;12:11:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;100500305;100500305;100500305;9349.52;;;;;;;;12:11:00;12:11:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;100500305;100500305;100500305;9349.52;;;;;;;;12:58:00;12:58:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;982862220;982862220;982862220;147930.925;;;;;;;;13:08:00;13:08:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;982862220;982862220;982862220;147930.925;;;;;;;;13:54:00;13:54:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;994394965;994394965;994394965;9349.52;;;;;;;;13:54:00;13:54:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;994394965;994394965;994394965;9349.52;;;;;;;;14:40:00;14:40:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;364253180;364253180;364253180;147930.925;;;;;;;;14:48:00;14:48:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;364253180;364253180;364253180;147930.925;;;;;;;;15:30:00;15:30:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;887601726;887601726;887601726;9349.52;;;;;;;;15:30:00;15:30:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;887601726;887601726;887601726;9349.52;;;;;;;;16:13:00;16:13:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;431446239;431446239;431446239;147930.925;;;;;;;;16:28:00;16:28:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;431446239;431446239;431446239;147930.925;;;;;;;;17:08:00;17:08:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;599030817;599030817;599030817;9349.52;;;;;;;;17:08:00;17:08:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;599030817;599030817;599030817;9349.52;;;;;;;;17:48:00;17:48:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_2
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;258664623;258664623;258664623;147930.925;;;;;;;;18:08:00;18:08:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_2
