SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;235408170;235408170;235408170;147930.925;;;;;;;;05:45:00;05:45:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;235408170;235408170;235408170;147930.925;;;;;;;;06:18:00;06:18:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;402983293;402983293;402983293;9349.52;;;;;;;;06:18:00;06:18:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;402983293;402983293;402983293;9349.52;;;;;;;;06:55:00;06:55:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;648896014;648896014;648896014;147930.925;;;;;;;;07:10:00;07:10:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;648896014;648896014;648896014;147930.925;;;;;;;;07:45:00;07:45:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;110365792;110365792;110365792;9349.52;;;;;;;;07:45:00;07:45:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;110365792;110365792;110365792;9349.52;;;;;;;;08:20:00;08:20:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;322224673;322224673;322224673;147930.925;;;;;;;;08:40:00;08:40:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;322224673;322224673;322224673;147930.925;;;;;;;;09:18:00;09:18:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;411943858;411943858;411943858;9349.52;;;;;;;;09:18:00;09:18:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
