SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;456335903;456335903;456335903;147930.925;;;;;;;;05:15:00;05:15:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;456335903;456335903;456335903;147930.925;;;;;;;;05:48:00;05:48:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;917410695;917410695;917410695;9349.52;;;;;;;;05:48:00;05:48:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;917410695;917410695;917410695;9349.52;;;;;;;;06:25:00;06:25:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;357753946;357753946;357753946;147930.925;;;;;;;;06:40:00;06:40:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;357753946;357753946;357753946;147930.925;;;;;;;;07:14:00;07:14:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;345035251;345035251;345035251;9349.52;;;;;;;;07:14:00;07:14:00;N1141;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1745;1;345035251;345035251;345035251;9349.52;;;;;;;;07:51:00;07:51:00;N45128;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;156224183;156224183;156224183;147930.925;;;;;;;;08:20:00;08:20:00;N45128;OSETH;Def;1;0701;7;line07 (2025).xlsx;0701_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;07;OASTH;Def;1391;0;156224183;156224183;156224183;147930.925;;;;;;;;08:58:00;08:58:00;N1141;OSETH;Def;2;0701;7;line07 (2025).xlsx;0701_1
