SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;346524155;346524155;346524155;7732.95;;;;;;;;05:00:00;05:00:00;N4018;OSETH;Def;1;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;346524155;346524155;346524155;7732.95;;;;;;;;05:30:00;05:30:00;N1344;OSETH;Def;2;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;877310282;877310282;877310282;7732.95;;;;;;;;05:20:00;05:20:00;N4018;OSETH;Def;1;2102;21;line21 (2025)-new.xlsx;2102_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;877310282;877310282;877310282;7732.95;;;;;;;;05:51:00;05:51:00;N1344;OSETH;Def;2;2102;21;line21 (2025)-new.xlsx;2102_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;138573319;138573319;138573319;8505.53;;;;;;;;05:30:00;05:30:00;N1344;OSETH;Def;1;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;138573319;138573319;138573319;8505.53;;;;;;;;05:58:00;05:58:00;N4018;OSETH;Def;2;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;576405324;576405324;576405324;7732.95;;;;;;;;05:35:00;05:35:00;N4018;OSETH;Def;1;2103;21;line21 (2025)-new.xlsx;2103_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;576405324;576405324;576405324;7732.95;;;;;;;;06:07:00;06:07:00;N1344;OSETH;Def;2;2103;21;line21 (2025)-new.xlsx;2103_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;768672243;768672243;768672243;7732.95;;;;;;;;05:50:00;05:50:00;N4018;OSETH;Def;1;2104;21;line21 (2025)-new.xlsx;2104_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;768672243;768672243;768672243;7732.95;;;;;;;;06:22:00;06:22:00;N1344;OSETH;Def;2;2104;21;line21 (2025)-new.xlsx;2104_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;217062993;217062993;217062993;8505.53;;;;;;;;05:51:00;05:51:00;N1344;OSETH;Def;1;2102;21;line21 (2025)-new.xlsx;2102_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;217062993;217062993;217062993;8505.53;;;;;;;;06:21:00;06:21:00;N4018;OSETH;Def;2;2102;21;line21 (2025)-new.xlsx;2102_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;710578158;710578158;710578158;7732.95;;;;;;;;06:05:00;06:05:00;N4018;OSETH;Def;1;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;710578158;710578158;710578158;7732.95;;;;;;;;06:38:00;06:38:00;N1344;OSETH;Def;2;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;913393155;913393155;913393155;8505.53;;;;;;;;06:07:00;06:07:00;N1344;OSETH;Def;1;2103;21;line21 (2025)-new.xlsx;2103_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;913393155;913393155;913393155;8505.53;;;;;;;;06:39:00;06:39:00;N4018;OSETH;Def;2;2103;21;line21 (2025)-new.xlsx;2103_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;399392372;399392372;399392372;7732.95;;;;;;;;06:20:00;06:20:00;N4018;OSETH;Def;1;2105;21;line21 (2025)-new.xlsx;2105_1
