SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;714151022;714151022;714151022;7732.95;;;;;;;;05:30:00;05:30:00;N4018;OSETH;Def;1;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;714151022;714151022;714151022;7732.95;;;;;;;;05:57:00;05:57:00;N1344;OSETH;Def;2;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;721281659;721281659;721281659;7732.95;;;;;;;;05:55:00;05:55:00;N4018;OSETH;Def;1;2102;21;line21 (2025)-new.xlsx;2102_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;721281659;721281659;721281659;7732.95;;;;;;;;06:22:00;06:22:00;N1344;OSETH;Def;2;2102;21;line21 (2025)-new.xlsx;2102_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;553687446;553687446;553687446;8505.53;;;;;;;;05:57:00;05:57:00;N1344;OSETH;Def;1;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;553687446;553687446;553687446;8505.53;;;;;;;;06:25:00;06:25:00;N4018;OSETH;Def;2;2101;21;line21 (2025)-new.xlsx;2101_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;358231639;358231639;358231639;7732.95;;;;;;;;06:15:00;06:15:00;N4018;OSETH;Def;1;2103;21;line21 (2025)-new.xlsx;2103_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2696;0;358231639;358231639;358231639;7732.95;;;;;;;;06:42:00;06:42:00;N1344;OSETH;Def;2;2103;21;line21 (2025)-new.xlsx;2103_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;665369395;665369395;665369395;8505.53;;;;;;;;06:22:00;06:22:00;N1344;OSETH;Def;1;2102;21;line21 (2025)-new.xlsx;2102_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;21;OASTH;Def;2697;1;665369395;665369395;665369395;8505.53;;;;;;;;06:50:00;06:50:00;N4018;OSETH;Def;2;2102;21;line21 (2025)-new.xlsx;2102_1
