SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2723;0;517327442;517327442;517327442;10011.24;;;;;;;;05:45:00;05:45:00;N1487;OSETH;Def;1;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2723;0;517327442;517327442;517327442;10011.24;;;;;;;;05:59:00;05:59:00;N15077;OSETH;Def;2;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2724;1;261169531;261169531;261169531;10334.31;;;;;;;;05:59:00;05:59:00;N15077;OSETH;Def;1;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2724;1;261169531;261169531;261169531;10334.31;;;;;;;;06:13:00;06:13:00;N1487;OSETH;Def;2;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2723;0;417467745;417467745;417467745;10011.24;;;;;;;;06:18:00;06:18:00;N1487;OSETH;Def;1;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2723;0;417467745;417467745;417467745;10011.24;;;;;;;;06:32:00;06:32:00;N15077;OSETH;Def;2;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2724;1;940008798;940008798;940008798;10334.31;;;;;;;;06:32:00;06:32:00;N15077;OSETH;Def;1;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2724;1;940008798;940008798;940008798;10334.31;;;;;;;;06:46:00;06:46:00;N1487;OSETH;Def;2;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2723;0;646827028;646827028;646827028;10011.24;;;;;;;;06:50:00;06:50:00;N1487;OSETH;Def;1;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2723;0;646827028;646827028;646827028;10011.24;;;;;;;;07:04:00;07:04:00;N15077;OSETH;Def;2;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2724;1;458970748;458970748;458970748;10334.31;;;;;;;;07:04:00;07:04:00;N15077;OSETH;Def;1;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2724;1;458970748;458970748;458970748;10334.31;;;;;;;;07:18:00;07:18:00;N1487;OSETH;Def;2;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2723;0;250148976;250148976;250148976;10011.24;;;;;;;;07:23:00;07:23:00;N1487;OSETH;Def;1;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2723;0;250148976;250148976;250148976;10011.24;;;;;;;;07:37:00;07:37:00;N15077;OSETH;Def;2;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2724;1;251668674;251668674;251668674;10334.31;;;;;;;;07:37:00;07:37:00;N15077;OSETH;Def;1;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;79X;KTEL_S;Def;2724;1;251668674;251668674;251668674;10334.31;;;;;;;;07:51:00;07:51:00;N1487;OSETH;Def;2;79Χ01;79X;line79X (2025)-new.xlsx;79Χ01_1
