SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY;SOURCE_FILE;PATTERNCODE;correct_depot
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;614187957;614187957;614187957;13536.51;;;;;;;;05:35:00;05:35:00;N1427;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;614187957;614187957;614187957;13536.51;;;;;;;;05:55:00;05:55:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;320019788;320019788;320019788;13536.51;;;;;;;;06:00:00;06:00:00;N1427;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;320019788;320019788;320019788;13536.51;;;;;;;;06:20:00;06:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;219157051;219157051;219157051;13536.51;;;;;;;;06:30:00;06:30:00;N1427;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;219157051;219157051;219157051;13536.51;;;;;;;;06:50:00;06:50:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;662435255;662435255;662435255;13536.51;;;;;;;;07:00:00;07:00:00;N1427;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;662435255;662435255;662435255;13536.51;;;;;;;;07:20:00;07:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;355269321;355269321;355269321;13536.51;;;;;;;;07:30:00;07:30:00;N1427;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;355269321;355269321;355269321;13536.51;;;;;;;;07:50:00;07:50:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;904602636;904602636;904602636;13536.51;;;;;;;;08:00:00;08:00:00;N1427;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;904602636;904602636;904602636;13536.51;;;;;;;;08:20:00;08:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702;0;997377330;997377330;997377330;13536.51;;;;;;;;08:20:00;08:20:00;N1427;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1;line02X (2025 08)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ.csv;2702;Foinika
