ORIGINNODE;ORIGINNODEBASIN;ORIGINNODECOMPANY;DESTINATIONNODE;DESTINATIONNODEBASIN;DESTINATIONNODECOMPANY;ORDINAL;DESCRIPTION;LENGTH;RUNNINGTIME;RUNNINGTIMELEVEL;TIMEBANDEND;VEHICLESIZE
Foinika;OASTH;Def;N1141;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N1164;OSETH;Def;0;;1;00:01:00;P1;47:59:00;12m
Foinika;OASTH;Def;N13011;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N1331;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N1337;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N1348;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N1407;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N1427;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N15006;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N15038;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N15056;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N15076;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N35070;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N36013;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
Foinika;OASTH;Def;N45128;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
H_Depot;KTEL_H;Def;N15077;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
H_Depot;KTEL_H;Def;N34166;OSETH;Def;0;;1000;00:01:00;P1;47:59:00;18m
H_Depot;KTEL_H;Def;N38155;OSETH;Def;0;;1609.344;00:01:00;P1;47:59:00;12m
N10002;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N1002;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N10028;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N10066;OSETH;Def;N1335;OSETH;Def;0;\_-_/;1000;00:01:00;P1;47:59:00;18m
N10066;OSETH;Def;Stavroupoli;OASTH;Def;0;;1000;00:10:00;P1;47:59:00;18m
N10074;OSETH;Def;S_Depot;KTEL_S;Def;0;;1;00:01:00;P1;47:59:00;12m
N10074;OSETH;Def;S_Depot;KTEL_S;Def;2;;1;00:01:00;P1;47:59:00;12m
N10074;OSETH;Def;S_Depot;KTEL_S;Def;1;;1;00:01:00;P1;47:59:00;12m
N10074;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N1044;OSETH;Def;N10028;OSETH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N1044;OSETH;Def;N1442;OSETH;Def;0;\_-_/;1000;00:01:00;P1;47:59:00;18m
N1044;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N11024;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N11024;OSETH;Def;T_Depot;KTEL_T;Def;0;;1;00:01:00;P1;47:59:00;12m
N11025;OSETH;Def;N26044;OSETH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N11025;OSETH;Def;N26212;OSETH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N11025;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N11025;OSETH;Def;T_Depot;KTEL_T;Def;0;;1000;00:01:00;P1;47:59:00;18m
N11048;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N11048;OSETH;Def;T_Depot;KTEL_T;Def;0;;1000;00:01:00;P1;47:59:00;18m
N11061;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N1134;OSETH;Def;N11024;OSETH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N1134;OSETH;Def;N26212;OSETH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N1134;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N1134;OSETH;Def;T_Depot;KTEL_T;Def;0;;1000;00:01:00;P1;47:59:00;18m
N1141;OSETH;Def;Foinika;OASTH;Def;0;;1000;00:01:00;P1;47:59:00;18m
N1141;OSETH;Def;S_Depot;KTEL_S;Def;0;;1000;00:01:00;P1;47:59:00;18m
N1141;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N1159;OSETH;Def;Stavroupoli;OASTH;Def;0;;1000;00:10:00;P1;47:59:00;18m
N1164;OSETH;Def;Foinika;OASTH;Def;0;;1;00:01:00;P1;47:59:00;12m
N1218;OSETH;Def;Stavroupoli;OASTH;Def;0;\_-_/;1000;00:10:00;P1;47:59:00;18m
N13011;OSETH;Def;Foinika;OASTH;Def;0;;1000;00:01:00;P1;47:59:00;18m
