LINE;DIRECTION;PATTERNCODE;STOPPOINTORDER;STOPPOINT;STOPPOINTBASIN;STOPPOINTCOMPANY;ORDINAL;LENGTH;VEHICLESIZE;NODE;NODEBASIN;NODECOMPANY;LINEBASIN;LINECOMPANY;VERSION
01;1;2498;1;11048;OSETH;Def;1;0;12m;N11048;OSETH;Def;KTEL_T;Def;2590
01;1;2498;2;11046;OSETH;Def;1;445.673;12m;;;;KTEL_T;Def;2590
01;1;2498;3;11047;OSETH;Def;1;389.113;12m;;;;KTEL_T;Def;2590
01;1;2498;4;11049;OSETH;Def;1;203.355;12m;;;;KTEL_T;Def;2590
01;1;2498;5;10056;OSETH;Def;1;393.554;12m;;;;KTEL_T;Def;2590
01;1;2498;6;10057;OSETH;Def;1;225.557;12m;;;;KTEL_T;Def;2590
01;1;2498;7;10061;OSETH;Def;1;644.428;12m;;;;KTEL_T;Def;2590
01;1;2498;8;10064;OSETH;Def;1;1319.732;12m;;;;KTEL_T;Def;2590
01;1;2498;9;10098;OSETH;Def;1;535.428;12m;;;;KTEL_T;Def;2590
01;1;2498;10;10095;OSETH;Def;1;1050.376;12m;;;;KTEL_T;Def;2590
01;1;2498;11;10093;OSETH;Def;1;1126.097;12m;;;;KTEL_T;Def;2590
01;1;2498;12;10048;OSETH;Def;1;262.837;12m;;;;KTEL_T;Def;2590
01;1;2498;13;10032;OSETH;Def;1;276.728;12m;;;;KTEL_T;Def;2590
01;1;2498;14;10034;OSETH;Def;1;162.375;12m;;;;KTEL_T;Def;2590
01;1;2498;15;10090;OSETH;Def;1;164.334;12m;;;;KTEL_T;Def;2590
01;1;2498;16;10085;OSETH;Def;1;188.004;12m;;;;KTEL_T;Def;2590
01;1;2498;17;9059;OSETH;Def;1;287.288;12m;;;;KTEL_T;Def;2590
01;1;2498;18;9061;OSETH;Def;1;388.476;12m;;;;KTEL_T;Def;2590
01;1;2498;19;9063;OSETH;Def;1;318.935;12m;;;;KTEL_T;Def;2590
01;1;2498;20;9065;OSETH;Def;1;202.641;12m;;;;KTEL_T;Def;2590
01;1;2498;21;9055;OSETH;Def;1;342.494;12m;;;;KTEL_T;Def;2590
