VERSION;BASIN;COMPANY;LINE;DIRECTION;PATTERNCODE;BRANCH;CATEGORY;CONTRACT;CONVLENGTH;DESCRIPTION;ELETTRONICCODE;INTERNALNOTE;INVALIDATED;LIMITED;MAIN;PLATFORM;PUBLICBODY;SHORTNAME;TRIPSCLASS;TRIPHEADSIGN;Active_Pattern;Always_Active;Apofasi;Depot;Pattern_End_Date;Pattern_english;Pattern_Start_Date;Route_type
2590;KTEL_T;Def;01;1;2498;;Revenue;;206840.515;Τ.Σ. ΕΥΚΑΡΠΙΑΣ - ΣΚΛΑΒΕΝΙΤΗΣ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - Κ.Τ.Ε.Λ.;;;;;;;;ΜΕΤΑΒΑΣΗ ΕΚΤΡΟΠΗ 23-01-23;;;0;;;KTEL_Thessalonikis;;T.S. EYKARPIAS - SKLAVENITIS - NOS. PAPAGEORGIOY - K.T.E.L.;;ΜΕΤΑΒΑΣΗ
2590;KTEL_T;Def;01;1;2499;;Revenue;;194380.483;Τ.Σ. ΕΥΚΑΡΠΙΑΣ - ΣΚΛΑΒΕΝΙΤΗΣ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - Κ.Τ.Ε.Λ.- ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ;;;;;;;;ΜΕΤΑΒΑΣΗ ΣΚ ΕΚΤΡΟΠΗ 23-01-23;;;0;;;KTEL_Thessalonikis;;T.S. EYKARPIAS - SKLAVENITIS - NOS. PAPAGEORGIOY - K.T.E.L.- SAVVATO-KYRIAKI;;ΜΕΤΑΒΑΣΗ
2590;KTEL_T;Def;01;1;2500;;Revenue;;197773.946;Κ.Τ.Ε.Λ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - ΣΚΛΑΒΕΝΙΤΗΣ - Τ.Σ. ΕΥΚΑΡΠΙΑΣ;;;;;;;;ΕΠΙΣΤΡΟΦΗ ΕΚΤΡΟΠΗ 23-01-23;;;0;;;KTEL_Thessalonikis;;K.T.E.L - NOS. PAPAGEORGIOY - SKLAVENITIS - T.S. EYKARPIAS;;ΕΠΙΣΤΡΟΦΗ
2590;KTEL_T;Def;01;1;2680;;Revenue;;12713.96;Τ.Σ. ΕΥΚΑΡΠΙΑΣ - ΣΚΛΑΒΕΝΙΤΗΣ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - Κ.Τ.Ε.Λ.;;;;;;;;ΜΕΤΑΒΑΣΗ ΕΚΤΡΟΠΗ 16-09-24;;;1;;;KTEL_Thessalonikis;;T.S. EYKARPIAS - SKLAVENITIS - NOS. PAPAGEORGIOY - K.T.E.L.;;ΜΕΤΑΒΑΣΗ
2590;KTEL_T;Def;01;1;2681;;Revenue;;12421.74;Τ.Σ. ΕΥΚΑΡΠΙΑΣ - ΣΚΛΑΒΕΝΙΤΗΣ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - Κ.Τ.Ε.Λ.- ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ;;;;;;;;ΜΕΤΑΒΑΣΗ ΣΚ ΕΚΤΡΟΠΗ 16-09-24;;;1;;;KTEL_Thessalonikis;;T.S. EYKARPIAS - SKLAVENITIS - NOS. PAPAGEORGIOY - K.T.E.L.- SAVVATO-KYRIAKI;;ΜΕΤΑΒΑΣΗ
2590;KTEL_T;Def;01;1;2682;;Revenue;;11753.85;Κ.Τ.Ε.Λ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - ΣΚΛΑΒΕΝΙΤΗΣ - Τ.Σ. ΕΥΚΑΡΠΙΑΣ;;;;;;;;ΕΠΙΣΤΡΟΦΗ ΕΚΤΡΟΠΗ 16-09-24;;;1;;;KTEL_Thessalonikis;;K.T.E.L - NOS. PAPAGEORGIOY - SKLAVENITIS - T.S. EYKARPIAS;;ΕΠΙΣΤΡΟΦΗ
2590;KTEL_T;Def;01;0;793;;Revenue;;197760.017;Τ.Σ. ΕΥΚΑΡΠΙΑΣ - ΣΚΛΑΒΕΝΙΤΗΣ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - Κ.Τ.Ε.Λ.;;;;;;;;ΜΕΤΑΒΑΣΗ;;;0;;;KTEL_Thessalonikis;;T.S. EYKARPIAS - SKLAVENITIS - NOS. PAPAGEORGIOY - K.T.E.L.;;ΜΕΤΑΒΑΣΗ
2590;KTEL_T;Def;01;1;794;;Revenue;;185116.257;Κ.Τ.Ε.Λ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - ΣΚΛΑΒΕΝΙΤΗΣ - Τ.Σ. ΕΥΚΑΡΠΙΑΣ;;;;;;;;ΕΠΙΣΤΡΟΦΗ;;;0;;;KTEL_Thessalonikis;;K.T.E.L - NOS. PAPAGEORGIOY - SKLAVENITIS - T.S. EYKARPIAS;;ΕΠΙΣΤΡΟΦΗ
2590;KTEL_T;Def;01;1;973;;Revenue;;185299.985;Τ.Σ. ΕΥΚΑΡΠΙΑΣ - ΣΚΛΑΒΕΝΙΤΗΣ - ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ - Κ.Τ.Ε.Λ.- ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ;;;;;;;;ΜΕΤΑΒΑΣΗ ΣΑΒ/ΚΟ;;;0;;;KTEL_Thessalonikis;;T.S. EYKARPIAS - SKLAVENITIS - NOS. PAPAGEORGIOY - K.T.E.L.- SAVVATO-KYRIAKI;;ΜΕΤΑΒΑΣΗ
2590;KTEL_T;Def;01A;1;2501;;Revenue;;16114.18;Τ.Σ. ΕΥΚΑΡΠΙΑΣ-ΣΚΛΑΒΕΝΙΤΗΣ-ΝΟΣ. ΠΑΠΑΓΕΩΡΓΙΟΥ-Κ.Τ.Ε.Λ. ΜΕΣΩ ΑΜΠΕΛΟΚΗΠΩΝ;;;;;;;;ΜΕΤΑΒΑΣΗ ΕΚΤΡΟΠΗ 23-01-23;;;0;;;KTEL_Thessalonikis;;T.S. EYKARPIAS-SKLAVENITIS-NOS. PAPAGEORGIOY-K.T.E.L. MESO AMPELOKIPON;;ΜΕΤΑΒΑΣΗ
