PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME
Day Type 1;H_Depot;8701;928631;DeadHead;;;;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;04:59:00;05:00:00;
Day Type 1;H_Depot;8701;928631;Revenue;87A;KTEL_H;Def;9395926;17973826;N15077;OSETH;Def;N38155;OSETH;Def;05:00:00;05:35:00;
Day Type 1;H_Depot;8701;928631;Revenue;87E;KTEL_H;Def;9395933;17973854;N38155;OSETH;Def;N15077;OSETH;Def;05:35:00;06:00:00;
Day Type 1;H_Depot;8701;928631;Revenue;87E;KTEL_H;Def;9395928;17973832;N15077;OSETH;Def;N38155;OSETH;Def;06:10:00;06:35:00;
Day Type 1;H_Depot;8701;928631;Revenue;87R;KTEL_H;Def;9395936;17973860;N38155;OSETH;Def;N15077;OSETH;Def;06:40:00;07:20:00;
Day Type 1;H_Depot;8701;928631;Revenue;87L;KTEL_H;Def;9395929;17973836;N15077;OSETH;Def;N38155;OSETH;Def;07:25:00;08:05:00;
Day Type 1;H_Depot;8701;928631;Revenue;87E;KTEL_H;Def;9396024;17974248;N38155;OSETH;Def;N15077;OSETH;Def;08:10:00;08:40:00;
Day Type 1;H_Depot;8701;928631;Revenue;87E;KTEL_H;Def;9395932;17973852;N15077;OSETH;Def;N38155;OSETH;Def;09:00:00;09:30:00;
Day Type 1;H_Depot;8701;928631;Revenue;87A;KTEL_H;Def;9395913;17973760;N38155;OSETH;Def;N15077;OSETH;Def;09:30:00;10:10:00;
Day Type 1;H_Depot;8701;928631;Revenue;87L;KTEL_H;Def;9395982;17974072;N15077;OSETH;Def;N38155;OSETH;Def;10:15:00;10:50:00;
Day Type 1;H_Depot;8701;928631;Revenue;87A;KTEL_H;Def;9396037;17974310;N38155;OSETH;Def;N15077;OSETH;Def;10:50:00;11:30:00;
Day Type 1;H_Depot;8701;928631;Revenue;87E;KTEL_H;Def;9395954;17973958;N15077;OSETH;Def;N38155;OSETH;Def;11:35:00;12:05:00;
Day Type 1;H_Depot;8701;928631;Revenue;87R;KTEL_H;Def;9395961;17973984;N38155;OSETH;Def;N15077;OSETH;Def;12:05:00;12:45:00;
Day Type 1;H_Depot;8701;928631;Revenue;87N;KTEL_H;Def;9395996;17974138;N15077;OSETH;Def;N38155;OSETH;Def;15:30:00;16:25:00;
Day Type 1;H_Depot;8701;928631;Revenue;87E;KTEL_H;Def;9396025;17974252;N38155;OSETH;Def;N15077;OSETH;Def;16:25:00;16:55:00;
Day Type 1;H_Depot;8701;928631;Revenue;87F;KTEL_H;Def;9395955;17973960;N15077;OSETH;Def;N38155;OSETH;Def;17:10:00;17:45:00;
Day Type 1;H_Depot;8701;928631;Revenue;87N;KTEL_H;Def;9395946;17973906;N38155;OSETH;Def;N15077;OSETH;Def;17:45:00;18:45:00;
Day Type 1;H_Depot;8701;928631;Revenue;87E;KTEL_H;Def;9396021;17974226;N15077;OSETH;Def;N38155;OSETH;Def;18:50:00;19:20:00;
Day Type 1;H_Depot;8701;928631;Revenue;87A;KTEL_H;Def;9395975;17974038;N38155;OSETH;Def;N15077;OSETH;Def;19:20:00;20:00:00;
Day Type 1;H_Depot;8701;928631;Revenue;87H;KTEL_H;Def;9396000;17974156;N15077;OSETH;Def;N38155;OSETH;Def;20:20:00;21:05:00;
Day Type 1;H_Depot;8701;928631;Revenue;87X;KTEL_H;Def;9396014;17974204;N38155;OSETH;Def;N38145;OSETH;Def;21:05:00;22:30:00;
Day Type 1;H_Depot;8701;928631;DeadHead;;;;;;N38145;OSETH;Def;N15077;OSETH;Def;22:30:00;22:31:00;
Day Type 1;H_Depot;8701;928631;Revenue;87E;KTEL_H;Def;9395931;17973850;N15077;OSETH;Def;N38155;OSETH;Def;22:45:00;23:10:00;
Day Type 1;H_Depot;8701;928631;Revenue;87A;KTEL_H;Def;9395986;17974092;N38155;OSETH;Def;N15077;OSETH;Def;23:10:00;23:50:00;
Day Type 1;H_Depot;8701;928631;DeadHead;;;;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;23:50:00;23:51:00;
Day Type 1;H_Depot;8702;928632;DeadHead;;;;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;05:19:00;05:20:00;
Day Type 1;H_Depot;8702;928632;Revenue;87E;KTEL_H;Def;9395973;17974024;N15077;OSETH;Def;N38155;OSETH;Def;05:20:00;05:45:00;
Day Type 1;H_Depot;8702;928632;Revenue;87A;KTEL_H;Def;9395970;17974010;N38155;OSETH;Def;N15077;OSETH;Def;05:45:00;06:25:00;
Day Type 1;H_Depot;8702;928632;Revenue;87M;KTEL_H;Def;9395950;17973940;N15077;OSETH;Def;N38155;OSETH;Def;06:30:00;07:45:00;
Day Type 1;H_Depot;8702;928632;Revenue;87F;KTEL_H;Def;9396033;17974300;N38155;OSETH;Def;N15077;OSETH;Def;07:45:00;08:15:00;
Day Type 1;H_Depot;8702;928632;Revenue;87A;KTEL_H;Def;9396003;17974162;N15077;OSETH;Def;N38155;OSETH;Def;08:20:00;09:00:00;
Day Type 1;H_Depot;8702;928632;Revenue;87E;KTEL_H;Def;9395965;17973998;N38155;OSETH;Def;N15077;OSETH;Def;09:00:00;09:30:00;
Day Type 1;H_Depot;8702;928632;Revenue;87P;KTEL_H;Def;9396034;17974302;N15077;OSETH;Def;N38155;OSETH;Def;12:25:00;13:40:00;
Day Type 1;H_Depot;8702;928632;Revenue;87A;KTEL_H;Def;9395997;17974144;N38155;OSETH;Def;N15077;OSETH;Def;13:45:00;14:25:00;
Day Type 1;H_Depot;8702;928632;Revenue;87A;KTEL_H;Def;9395953;17973956;N15077;OSETH;Def;N38155;OSETH;Def;14:30:00;15:10:00;
Day Type 1;H_Depot;8702;928632;Revenue;87E;KTEL_H;Def;9395934;17973856;N38155;OSETH;Def;N15077;OSETH;Def;15:10:00;15:40:00;
Day Type 1;H_Depot;8702;928632;Revenue;87A;KTEL_H;Def;9396010;17974188;N15077;OSETH;Def;N38155;OSETH;Def;16:30:00;17:10:00;
Day Type 1;H_Depot;8702;928632;Revenue;87E;KTEL_H;Def;9395998;17974146;N38155;OSETH;Def;N15077;OSETH;Def;17:10:00;17:40:00;
Day Type 1;H_Depot;8702;928632;Revenue;87E;KTEL_H;Def;9395910;17973754;N15077;OSETH;Def;N38155;OSETH;Def;17:45:00;18:15:00;
Day Type 1;H_Depot;8702;928632;Revenue;87R;KTEL_H;Def;9395966;17974000;N38155;OSETH;Def;N15077;OSETH;Def;18:15:00;18:55:00;
Day Type 1;H_Depot;8702;928632;Revenue;87E;KTEL_H;Def;9395957;17973966;N15077;OSETH;Def;N38155;OSETH;Def;19:00:00;19:30:00;
