SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;581282710;581282710;581282710;;;;;;;;;05:35:00;05:35:00;N1487;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;581282710;581282710;581282710;;;;;;;;;05:55:00;05:55:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;386277048;386277048;386277048;;;;;;;;;06:00:00;06:00:00;N1487;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;386277048;386277048;386277048;;;;;;;;;06:20:00;06:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;531743831;531743831;531743831;;;;;;;;;06:30:00;06:30:00;N1487;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;531743831;531743831;531743831;;;;;;;;;06:50:00;06:50:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;916046136;916046136;916046136;;;;;;;;;07:00:00;07:00:00;N1487;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;916046136;916046136;916046136;;;;;;;;;07:20:00;07:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;735702682;735702682;735702682;;;;;;;;;07:30:00;07:30:00;N1487;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;735702682;735702682;735702682;;;;;;;;;07:50:00;07:50:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1
