SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;833400145;833400145;833400145;;;;;;;;;05:35:00;05:35:00;N1487;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;833400145;833400145;833400145;;;;;;;;;05:55:00;05:55:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;932985644;932985644;932985644;;;;;;;;;06:00:00;06:00:00;N1487;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;932985644;932985644;932985644;;;;;;;;;06:20:00;06:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;579287405;579287405;579287405;;;;;;;;;06:30:00;06:30:00;N1487;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;579287405;579287405;579287405;;;;;;;;;06:50:00;06:50:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;465734505;465734505;465734505;;;;;;;;;07:00:00;07:00:00;N1487;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;465734505;465734505;465734505;;;;;;;;;07:20:00;07:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;749382345;749382345;749382345;;;;;;;;;07:30:00;07:30:00;N1487;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;749382345;749382345;749382345;;;;;;;;;07:50:00;07:50:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;737246778;737246778;737246778;;;;;;;;;08:00:00;08:00:00;N1487;OSETH;Def;1;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;737246778;737246778;737246778;;;;;;;;;08:20:00;08:20:00;N36013;OSETH;Def;2;7802;02X;line02X (2025 08).xlsx;7802_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;999876866;999876866;999876866;;;;;;;;;08:20:00;08:20:00;N1487;OSETH;Def;1;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;999876866;999876866;999876866;;;;;;;;;08:40:00;08:40:00;N36013;OSETH;Def;2;7801;02X;line02X (2025 08).xlsx;7801_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;02X;OASTH;Def;2702_1;0;922488218;922488218;922488218;;;;;;;;;08:40:00;08:40:00;N1487;OSETH;Def;1;7803;02X;line02X (2025 08).xlsx;7803_1
