SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;747641487;747641487;747641487;;;;;;;;;05:00:00;05:00:00;N1487;OSETH;Def;1;1003;10;line10 (2025 08).xlsx;1003_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;747641487;747641487;747641487;;;;;;;;;05:28:00;05:28:00;N1337;OSETH;Def;2;1003;10;line10 (2025 08).xlsx;1003_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;226140710;226140710;226140710;;;;;;;;;05:15:00;05:15:00;N1487;OSETH;Def;1;1004;10;line10 (2025 08).xlsx;1004_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;226140710;226140710;226140710;;;;;;;;;05:43:00;05:43:00;N1337;OSETH;Def;2;1004;10;line10 (2025 08).xlsx;1004_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;980941059;980941059;980941059;;;;;;;;;05:30:00;05:30:00;N1487;OSETH;Def;1;1005;10;line10 (2025 08).xlsx;1005_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;980941059;980941059;980941059;;;;;;;;;05:58:00;05:58:00;N1337;OSETH;Def;2;1005;10;line10 (2025 08).xlsx;1005_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;161892299;161892299;161892299;;;;;;;;;05:45:00;05:45:00;N1487;OSETH;Def;1;1001;10;line10 (2025 08).xlsx;1001_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;161892299;161892299;161892299;;;;;;;;;06:13:00;06:13:00;N1337;OSETH;Def;2;1001;10;line10 (2025 08).xlsx;1001_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;911657843;911657843;911657843;;;;;;;;;06:00:00;06:00:00;N1487;OSETH;Def;1;1002;10;line10 (2025 08).xlsx;1002_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;911657843;911657843;911657843;;;;;;;;;06:28:00;06:28:00;N1337;OSETH;Def;2;1002;10;line10 (2025 08).xlsx;1002_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;569203254;569203254;569203254;;;;;;;;;06:10:00;06:10:00;N1487;OSETH;Def;1;1003;10;line10 (2025 08).xlsx;1003_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;569203254;569203254;569203254;;;;;;;;;06:38:00;06:38:00;N1337;OSETH;Def;2;1003;10;line10 (2025 08).xlsx;1003_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;646894679;646894679;646894679;;;;;;;;;06:20:00;06:20:00;N1487;OSETH;Def;1;1006;10;line10 (2025 08).xlsx;1006_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;646894679;646894679;646894679;;;;;;;;;06:48:00;06:48:00;N1337;OSETH;Def;2;1006;10;line10 (2025 08).xlsx;1006_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;609338233;609338233;609338233;;;;;;;;;06:30:00;06:30:00;N1487;OSETH;Def;1;1004;10;line10 (2025 08).xlsx;1004_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;609338233;609338233;609338233;;;;;;;;;06:59:00;06:59:00;N1337;OSETH;Def;2;1004;10;line10 (2025 08).xlsx;1004_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;420822577;420822577;420822577;;;;;;;;;06:40:00;06:40:00;N1487;OSETH;Def;1;1005;10;line10 (2025 08).xlsx;1005_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;420822577;420822577;420822577;;;;;;;;;07:10:00;07:10:00;N1337;OSETH;Def;2;1005;10;line10 (2025 08).xlsx;1005_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;925743665;925743665;925743665;;;;;;;;;06:50:00;06:50:00;N1487;OSETH;Def;1;1007;10;line10 (2025 08).xlsx;1007_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;925743665;925743665;925743665;;;;;;;;;07:21:00;07:21:00;N1337;OSETH;Def;2;1007;10;line10 (2025 08).xlsx;1007_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;833101353;833101353;833101353;;;;;;;;;07:00:00;07:00:00;N1487;OSETH;Def;1;1001;10;line10 (2025 08).xlsx;1001_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;833101353;833101353;833101353;;;;;;;;;07:31:00;07:31:00;N1337;OSETH;Def;2;1001;10;line10 (2025 08).xlsx;1001_1
F1;;ΚΑΘΗΜΕΡΙΝΗ;Revenue;2025-07-01;2025-08-31;10;OASTH;Def;2688_1;0;225130266;225130266;225130266;;;;;;;;;07:09:00;07:09:00;N1487;OSETH;Def;1;1002;10;line10 (2025 08).xlsx;1002_1
