SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;396909734;396909734;396909734;7566.39;;;;;;;;05:00:00;05:00:00;N15006;OSETH;Def;1;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;396909734;396909734;396909734;7566.39;;;;;;;;05:28:00;05:28:00;N1337;OSETH;Def;2;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;485581809;485581809;485581809;7566.39;;;;;;;;05:25:00;05:25:00;N15006;OSETH;Def;1;1402;14;line14 (2025 08).xlsx;1402_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;485581809;485581809;485581809;7566.39;;;;;;;;05:53:00;05:53:00;N1337;OSETH;Def;2;1402;14;line14 (2025 08).xlsx;1402_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;217035885;217035885;217035885;7566.39;;;;;;;;05:45:00;05:45:00;N15006;OSETH;Def;1;1403;14;line14 (2025 08).xlsx;1403_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;217035885;217035885;217035885;7566.39;;;;;;;;06:13:00;06:13:00;N1337;OSETH;Def;2;1403;14;line14 (2025 08).xlsx;1403_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;532819199;532819199;532819199;7566.39;;;;;;;;06:00:00;06:00:00;N15006;OSETH;Def;1;1404;14;line14 (2025 08).xlsx;1404_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;532819199;532819199;532819199;7566.39;;;;;;;;06:28:00;06:28:00;N1337;OSETH;Def;2;1404;14;line14 (2025 08).xlsx;1404_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;664936486;664936486;664936486;7566.39;;;;;;;;06:15:00;06:15:00;N15006;OSETH;Def;1;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;664936486;664936486;664936486;7566.39;;;;;;;;06:43:00;06:43:00;N1337;OSETH;Def;2;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;113769278;113769278;113769278;7566.39;;;;;;;;06:30:00;06:30:00;N15006;OSETH;Def;1;1402;14;line14 (2025 08).xlsx;1402_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;113769278;113769278;113769278;7566.39;;;;;;;;06:58:00;06:58:00;N1337;OSETH;Def;2;1402;14;line14 (2025 08).xlsx;1402_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;210583051;210583051;210583051;7566.39;;;;;;;;06:45:00;06:45:00;N15006;OSETH;Def;1;1405;14;line14 (2025 08).xlsx;1405_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;210583051;210583051;210583051;7566.39;;;;;;;;07:14:00;07:14:00;N1337;OSETH;Def;2;1405;14;line14 (2025 08).xlsx;1405_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;939315824;939315824;939315824;7566.39;;;;;;;;07:00:00;07:00:00;N15006;OSETH;Def;1;1403;14;line14 (2025 08).xlsx;1403_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;939315824;939315824;939315824;7566.39;;;;;;;;07:30:00;07:30:00;N1337;OSETH;Def;2;1403;14;line14 (2025 08).xlsx;1403_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;989522427;989522427;989522427;7566.39;;;;;;;;07:12:00;07:12:00;N15006;OSETH;Def;1;1406;14;line14 (2025 08).xlsx;1406_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;989522427;989522427;989522427;7566.39;;;;;;;;07:44:00;07:44:00;N1337;OSETH;Def;2;1406;14;line14 (2025 08).xlsx;1406_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;939655583;939655583;939655583;7566.39;;;;;;;;07:24:00;07:24:00;N15006;OSETH;Def;1;1404;14;line14 (2025 08).xlsx;1404_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;939655583;939655583;939655583;7566.39;;;;;;;;07:58:00;07:58:00;N1337;OSETH;Def;2;1404;14;line14 (2025 08).xlsx;1404_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;167379209;167379209;167379209;7566.39;;;;;;;;07:36:00;07:36:00;N15006;OSETH;Def;1;1407;14;line14 (2025 08).xlsx;1407_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;167379209;167379209;167379209;7566.39;;;;;;;;08:11:00;08:11:00;N1337;OSETH;Def;2;1407;14;line14 (2025 08).xlsx;1407_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;201420532;201420532;201420532;7566.39;;;;;;;;07:48:00;07:48:00;N15006;OSETH;Def;1;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;201420532;201420532;201420532;7566.39;;;;;;;;08:24:00;08:24:00;N1337;OSETH;Def;2;1401;14;line14 (2025 08).xlsx;1401_1
