SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;923108441;923108441;923108441;7566.39;;;;;;;;24:00:00;24:00:00;N15006;OSETH;Def;1;1407;14;line14 (2025 08).xlsx;1407_2
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;923108441;923108441;923108441;7566.39;;;;;;;;24:35:00;24:35:00;N1337;OSETH;Def;2;1407;14;line14 (2025 08).xlsx;1407_2
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;763240978;763240978;763240978;7566.39;;;;;;;;05:00:00;05:00:00;N15006;OSETH;Def;1;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;763240978;763240978;763240978;7566.39;;;;;;;;05:28:00;05:28:00;N1337;OSETH;Def;2;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;655403869;655403869;655403869;7566.39;;;;;;;;05:25:00;05:25:00;N15006;OSETH;Def;1;1402;14;line14 (2025 08).xlsx;1402_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;655403869;655403869;655403869;7566.39;;;;;;;;05:53:00;05:53:00;N1337;OSETH;Def;2;1402;14;line14 (2025 08).xlsx;1402_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;779675282;779675282;779675282;9130.72;;;;;;;;05:30:00;05:30:00;N1337;OSETH;Def;1;1401;14Α;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;779675282;779675282;779675282;9130.72;;;;;;;;06:00:00;06:00:00;N15006;OSETH;Def;2;1401;14Α;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;969517709;969517709;969517709;7566.39;;;;;;;;05:45:00;05:45:00;N15006;OSETH;Def;1;1403;14;line14 (2025 08).xlsx;1403_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;969517709;969517709;969517709;7566.39;;;;;;;;06:13:00;06:13:00;N1337;OSETH;Def;2;1403;14;line14 (2025 08).xlsx;1403_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;912743185;912743185;912743185;9130.72;;;;;;;;05:54:00;05:54:00;N1337;OSETH;Def;1;1402;14Α;line14 (2025 08).xlsx;1402_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;912743185;912743185;912743185;9130.72;;;;;;;;06:25:00;06:25:00;N15006;OSETH;Def;2;1402;14Α;line14 (2025 08).xlsx;1402_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;524105447;524105447;524105447;7566.39;;;;;;;;06:00:00;06:00:00;N15006;OSETH;Def;1;1404;14;line14 (2025 08).xlsx;1404_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;524105447;524105447;524105447;7566.39;;;;;;;;06:28:00;06:28:00;N1337;OSETH;Def;2;1404;14;line14 (2025 08).xlsx;1404_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;995636441;995636441;995636441;7566.39;;;;;;;;06:15:00;06:15:00;N15006;OSETH;Def;1;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;995636441;995636441;995636441;7566.39;;;;;;;;06:43:00;06:43:00;N1337;OSETH;Def;2;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;441414427;441414427;441414427;9130.72;;;;;;;;06:15:00;06:15:00;N1337;OSETH;Def;1;1403;14Α;line14 (2025 08).xlsx;1403_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;441414427;441414427;441414427;9130.72;;;;;;;;06:47:00;06:47:00;N15006;OSETH;Def;2;1403;14Α;line14 (2025 08).xlsx;1403_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;936112995;936112995;936112995;7566.39;;;;;;;;06:30:00;06:30:00;N15006;OSETH;Def;1;1402;14;line14 (2025 08).xlsx;1402_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;936112995;936112995;936112995;7566.39;;;;;;;;06:58:00;06:58:00;N1337;OSETH;Def;2;1402;14;line14 (2025 08).xlsx;1402_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;751901836;751901836;751901836;9130.72;;;;;;;;06:30:00;06:30:00;N1337;OSETH;Def;1;1404;14Α;line14 (2025 08).xlsx;1404_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;751901836;751901836;751901836;9130.72;;;;;;;;07:03:00;07:03:00;N15006;OSETH;Def;2;1404;14Α;line14 (2025 08).xlsx;1404_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;238725479;238725479;238725479;7566.39;;;;;;;;06:45:00;06:45:00;N15006;OSETH;Def;1;1405;14;line14 (2025 08).xlsx;1405_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;238725479;238725479;238725479;7566.39;;;;;;;;07:14:00;07:14:00;N1337;OSETH;Def;2;1405;14;line14 (2025 08).xlsx;1405_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;159164490;159164490;159164490;9130.72;;;;;;;;06:46:00;06:46:00;N1337;OSETH;Def;1;1401;14Α;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;159164490;159164490;159164490;9130.72;;;;;;;;07:19:00;07:19:00;N15006;OSETH;Def;2;1401;14Α;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;935293541;935293541;935293541;9130.72;;;;;;;;07:00:00;07:00:00;N1337;OSETH;Def;1;1402;14Α;line14 (2025 08).xlsx;1402_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;935293541;935293541;935293541;9130.72;;;;;;;;07:33:00;07:33:00;N15006;OSETH;Def;2;1402;14Α;line14 (2025 08).xlsx;1402_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;700620559;700620559;700620559;7566.39;;;;;;;;07:00:00;07:00:00;N15006;OSETH;Def;1;1403;14;line14 (2025 08).xlsx;1403_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;700620559;700620559;700620559;7566.39;;;;;;;;07:30:00;07:30:00;N1337;OSETH;Def;2;1403;14;line14 (2025 08).xlsx;1403_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;598070679;598070679;598070679;7566.39;;;;;;;;07:12:00;07:12:00;N15006;OSETH;Def;1;1404;14;line14 (2025 08).xlsx;1404_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;598070679;598070679;598070679;7566.39;;;;;;;;07:42:00;07:42:00;N1337;OSETH;Def;2;1404;14;line14 (2025 08).xlsx;1404_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;134638379;134638379;134638379;9130.72;;;;;;;;07:16:00;07:16:00;N1337;OSETH;Def;1;1405;14Α;line14 (2025 08).xlsx;1405_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;134638379;134638379;134638379;9130.72;;;;;;;;07:50:00;07:50:00;N15006;OSETH;Def;2;1405;14Α;line14 (2025 08).xlsx;1405_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;656036961;656036961;656036961;7566.39;;;;;;;;07:24:00;07:24:00;N15006;OSETH;Def;1;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;656036961;656036961;656036961;7566.39;;;;;;;;07:54:00;07:54:00;N1337;OSETH;Def;2;1401;14;line14 (2025 08).xlsx;1401_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;260019547;260019547;260019547;9130.72;;;;;;;;07:32:00;07:32:00;N1337;OSETH;Def;1;1403;14Α;line14 (2025 08).xlsx;1403_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;260019547;260019547;260019547;9130.72;;;;;;;;08:06:00;08:06:00;N15006;OSETH;Def;2;1403;14Α;line14 (2025 08).xlsx;1403_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;147466516;147466516;147466516;7566.39;;;;;;;;07:36:00;07:36:00;N15006;OSETH;Def;1;1406;14;line14 (2025 08).xlsx;1406_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14;OASTH;Def;178;0;147466516;147466516;147466516;7566.39;;;;;;;;08:06:00;08:06:00;N1337;OSETH;Def;2;1406;14;line14 (2025 08).xlsx;1406_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;822973656;822973656;822973656;9130.72;;;;;;;;07:45:00;07:45:00;N1337;OSETH;Def;1;1404;14Α;line14 (2025 08).xlsx;1404_1
F1;;ΣΑΒΒΑΤΟ;Revenue;2025-07-01;2025-08-31;14A;OASTH;Def;1727;1;822973656;822973656;822973656;9130.72;;;;;;;;08:20:00;08:20:00;N15006;OSETH;Def;2;1404;14Α;line14 (2025 08).xlsx;1404_1
