SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;942705094;942705094;942705094;;;;;;;;;05:45:00;05:45:00;N1487;OSETH;Def;1;6601;66;line66 (2025 08).xlsx;6601_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;942705094;942705094;942705094;;;;;;;;;06:15:00;06:15:00;N36037;OSETH;Def;2;6601;66;line66 (2025 08).xlsx;6601_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;750208790;750208790;750208790;;;;;;;;;06:15:00;06:15:00;N1487;OSETH;Def;1;6602;66;line66 (2025 08).xlsx;6602_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;750208790;750208790;750208790;;;;;;;;;06:40:00;06:40:00;N36037;OSETH;Def;2;6602;66;line66 (2025 08).xlsx;6602_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;531272765;531272765;531272765;;;;;;;;;06:30:00;06:30:00;N1487;OSETH;Def;1;6603;66;line66 (2025 08).xlsx;6603_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;531272765;531272765;531272765;;;;;;;;;07:00:00;07:00:00;N36037;OSETH;Def;2;6603;66;line66 (2025 08).xlsx;6603_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;678259806;678259806;678259806;;;;;;;;;06:50:00;06:50:00;N1487;OSETH;Def;1;6601;66;line66 (2025 08).xlsx;6601_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;678259806;678259806;678259806;;;;;;;;;07:20:00;07:20:00;N36037;OSETH;Def;2;6601;66;line66 (2025 08).xlsx;6601_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;386296297;386296297;386296297;;;;;;;;;07:10:00;07:10:00;N1487;OSETH;Def;1;6602;66;line66 (2025 08).xlsx;6602_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;386296297;386296297;386296297;;;;;;;;;07:40:00;07:40:00;N36037;OSETH;Def;2;6602;66;line66 (2025 08).xlsx;6602_1
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;66;KTEL_S;Def;216_1;0;976635597;976635597;976635597;;;;;;;;;07:35:00;07:35:00;N1487;OSETH;Def;1;6603;66;line66 (2025 08).xlsx;6603_1
